LED TV Samsung,25,home appliances,Living Room,Entertainment Display,2024-12-21 16:16:53
Microwave Oven,15,home appliances,Kitchen,Food Heating,2024-12-21 16:17:00
Smart Thermostat,30,home automation,HVAC,Temperature Control,2024-12-21 16:17:15
Security Camera,40,security,Outdoor,Surveillance,2024-12-21 16:17:30
Robot Vacuum,12,home appliances,Cleaning,Floor Cleaning,2024-12-21 16:17:45
Smart Door Lock,20,security,Entry,Access Control,2024-12-21 16:18:00
Air Purifier,18,home appliances,Bedroom,Air Cleaning,2024-12-21 16:18:15
Smart Speaker,50,home automation,Living Room,Voice Control,2024-12-21 16:18:30
Dishwasher,10,home appliances,Kitchen,Dish Cleaning,2024-12-21 16:18:45
Smart Light Bulbs,100,home automation,Lighting,Illumination Control,2024-12-21 16:19:00
